physics_model,phy_rmsd_X,phy_rmsd_y,phy_md_X,phy_md_y,phy_ormsd_X,phy_ormsd_y,ml_rmsd_X,ml_rmsd_X_std,ml_rmsd_y,ml_rmsd_y_std,ml_md_X,ml_md_X_std,ml_md_y,ml_md_y_std,ml_ormsd_X,ml_ormsd_X_std,ml_ormsd_y,ml_ormsd_y_std
tip3p,1.556059669720135,1.4352081556345748,-0.33443594306049823,-0.192775,4.825227548681173,3.7860636880538596,0.7065200949096077,0.04767717989337272,1.0380643829490368,0.07108178114366571,0.16938315628468992,0.10675399975729047,0.3373171048577293,0.12091646883862012,2.200165731954984,0.13844886926334957,3.280507610608692,0.25817340376375786
cha,1.7703504244090558,1.3152918288589677,0.1827203966192171,0.028389868750000047,5.844845614570333,3.573257788954641,0.77491019326037,0.03961598780248579,0.9913843333973854,0.05800764065198936,0.05966961908022351,0.12183079112544802,0.0893644041352632,0.13467134571389733,2.5474377106977313,0.13385239760879233,2.9980665372836417,0.24022921484777823
gbnsr6,1.6401879965014996,1.8545443800079833,-0.06185178617437717,0.093436716625,5.072175968317929,4.881748542095343,0.7560062390734078,0.04585759000571818,1.4592420317784658,0.07177124984734164,0.1301402493128777,0.11542129922681461,0.383470237120337,0.12880726322565533,2.454696303094123,0.13202693780045854,4.972908741525004,0.31637544648015353
asc,2.4890836992599716,2.6515044880218466,0.15000711743772244,0.16007500000000005,7.752144152782325,6.794673502089707,1.038170920318814,0.06143821155699727,1.572772647893113,0.0956895857567605,0.06553681794223767,0.11589904537297344,0.24765549383369512,0.1283203561347927,3.448241873427315,0.21442665506882644,4.612946355931374,0.4365285973000969
igb5,2.8045712878336544,3.11249196183701,1.381724199288256,1.4450874999999999,8.381651787664243,9.04487092224096,1.0393028357466711,0.07610452549835516,1.6575565237056404,0.16245711300214472,0.3026665284852282,0.13005485314820828,0.47273076082146737,0.14407851082647039,3.3661148318822387,0.2050819105194777,5.340419646133162,0.806576692886928
null,5.401955672621533,5.449573148421811,-3.7889501779359427,-3.9017499999999994,14.264721252579493,14.343293729126517,1.1203653899630917,0.09504369583845691,1.6328981409166061,0.11771974230370119,-0.5920394152935821,0.13965913133216057,-0.728844100780785,0.1543347948350611,3.2201695494912728,0.20205490460166864,5.400715261478037,0.3967370573945475
