Energies(kcal/mol): TOTAL_SOLV -13.4767  POLAR_SOLV -14.8778  NONPOLAR_SOLV 1.40107
Energies(kcal/mol): TOTAL_SOLV -10.1085  POLAR_SOLV -11.3775  NONPOLAR_SOLV 1.26898
Energies(kcal/mol): TOTAL_SOLV -77.9541  POLAR_SOLV -79.1225  NONPOLAR_SOLV 1.16841
Energies(kcal/mol): TOTAL_SOLV -62.8043  POLAR_SOLV -63.6528  NONPOLAR_SOLV 0.848492
Energies(kcal/mol): TOTAL_SOLV -18.2028  POLAR_SOLV -19.3006  NONPOLAR_SOLV 1.0978
Energies(kcal/mol): TOTAL_SOLV -14.2449  POLAR_SOLV -15.1835  NONPOLAR_SOLV 0.938556
Energies(kcal/mol): TOTAL_SOLV -19.6122  POLAR_SOLV -20.6851  NONPOLAR_SOLV 1.07294
Energies(kcal/mol): TOTAL_SOLV -17.3175  POLAR_SOLV -18.2603  NONPOLAR_SOLV 0.942722
Energies(kcal/mol): TOTAL_SOLV -66.4672  POLAR_SOLV -67.6302  NONPOLAR_SOLV 1.16294
Energies(kcal/mol): TOTAL_SOLV -66.8166  POLAR_SOLV -67.824  NONPOLAR_SOLV 1.00745
Energies(kcal/mol): TOTAL_SOLV -13.4913  POLAR_SOLV -15.3381  NONPOLAR_SOLV 1.84682
Energies(kcal/mol): TOTAL_SOLV -12.978  POLAR_SOLV -14.5468  NONPOLAR_SOLV 1.56879
Energies(kcal/mol): TOTAL_SOLV -17.6862  POLAR_SOLV -18.8613  NONPOLAR_SOLV 1.17505
Energies(kcal/mol): TOTAL_SOLV -13.9507  POLAR_SOLV -14.993  NONPOLAR_SOLV 1.04228
Energies(kcal/mol): TOTAL_SOLV -22.8807  POLAR_SOLV -24.1451  NONPOLAR_SOLV 1.26443
Energies(kcal/mol): TOTAL_SOLV -14.9554  POLAR_SOLV -15.9454  NONPOLAR_SOLV 0.990006
Energies(kcal/mol): TOTAL_SOLV -64.1642  POLAR_SOLV -65.4025  NONPOLAR_SOLV 1.2383
Energies(kcal/mol): TOTAL_SOLV -67.2801  POLAR_SOLV -68.3754  NONPOLAR_SOLV 1.09531
Energies(kcal/mol): TOTAL_SOLV -14.7309  POLAR_SOLV -15.9274  NONPOLAR_SOLV 1.19644
Energies(kcal/mol): TOTAL_SOLV -10.4407  POLAR_SOLV -11.5838  NONPOLAR_SOLV 1.14304
Energies(kcal/mol): TOTAL_SOLV -19.7582  POLAR_SOLV -20.5589  NONPOLAR_SOLV 0.800705
Energies(kcal/mol): TOTAL_SOLV -20.5206  POLAR_SOLV -21.2955  NONPOLAR_SOLV 0.774923
Energies(kcal/mol): TOTAL_SOLV -13.5127  POLAR_SOLV -15.2949  NONPOLAR_SOLV 1.78221
Energies(kcal/mol): TOTAL_SOLV -8.12305  POLAR_SOLV -9.63184  NONPOLAR_SOLV 1.50879
Energies(kcal/mol): TOTAL_SOLV -13.3664  POLAR_SOLV -15.164  NONPOLAR_SOLV 1.7976
Energies(kcal/mol): TOTAL_SOLV -8.09159  POLAR_SOLV -9.61813  NONPOLAR_SOLV 1.52654
Energies(kcal/mol): TOTAL_SOLV -88.5056  POLAR_SOLV -90.2556  NONPOLAR_SOLV 1.74998
Energies(kcal/mol): TOTAL_SOLV -71.524  POLAR_SOLV -72.9336  NONPOLAR_SOLV 1.40965
Energies(kcal/mol): TOTAL_SOLV -14.5308  POLAR_SOLV -16.5819  NONPOLAR_SOLV 2.05114
Energies(kcal/mol): TOTAL_SOLV -8.57175  POLAR_SOLV -10.4439  NONPOLAR_SOLV 1.8722
Energies(kcal/mol): TOTAL_SOLV -16.2626  POLAR_SOLV -17.74  NONPOLAR_SOLV 1.47735
Energies(kcal/mol): TOTAL_SOLV -10.7632  POLAR_SOLV -12.0002  NONPOLAR_SOLV 1.23708
Energies(kcal/mol): TOTAL_SOLV -12.7798  POLAR_SOLV -14.1716  NONPOLAR_SOLV 1.39186
Energies(kcal/mol): TOTAL_SOLV -10.153  POLAR_SOLV -11.3776  NONPOLAR_SOLV 1.22459
Energies(kcal/mol): TOTAL_SOLV -16.3009  POLAR_SOLV -17.5047  NONPOLAR_SOLV 1.20378
Energies(kcal/mol): TOTAL_SOLV -13.2514  POLAR_SOLV -14.3441  NONPOLAR_SOLV 1.09265
Energies(kcal/mol): TOTAL_SOLV -15.2788  POLAR_SOLV -16.5986  NONPOLAR_SOLV 1.31984
Energies(kcal/mol): TOTAL_SOLV -12.3249  POLAR_SOLV -13.4777  NONPOLAR_SOLV 1.15284
Energies(kcal/mol): TOTAL_SOLV -18.096  POLAR_SOLV -19.2513  NONPOLAR_SOLV 1.15535
Energies(kcal/mol): TOTAL_SOLV -14.974  POLAR_SOLV -15.912  NONPOLAR_SOLV 0.937991
Energies(kcal/mol): TOTAL_SOLV -20.2957  POLAR_SOLV -21.5611  NONPOLAR_SOLV 1.26539
Energies(kcal/mol): TOTAL_SOLV -15.2332  POLAR_SOLV -16.2719  NONPOLAR_SOLV 1.0387
Energies(kcal/mol): TOTAL_SOLV -13.5247  POLAR_SOLV -15.1707  NONPOLAR_SOLV 1.64604
Energies(kcal/mol): TOTAL_SOLV -8.45166  POLAR_SOLV -9.83226  NONPOLAR_SOLV 1.3806
