Energies(kcal/mol): TOTAL_SOLV -15.7133  POLAR_SOLV -17.6639  NONPOLAR_SOLV 1.95055
Energies(kcal/mol): TOTAL_SOLV -12.0163  POLAR_SOLV -13.8234  NONPOLAR_SOLV 1.80715
Energies(kcal/mol): TOTAL_SOLV -74.2841  POLAR_SOLV -75.9818  NONPOLAR_SOLV 1.69773
Energies(kcal/mol): TOTAL_SOLV -58.613  POLAR_SOLV -59.9398  NONPOLAR_SOLV 1.32676
Energies(kcal/mol): TOTAL_SOLV -19.3619  POLAR_SOLV -21.7543  NONPOLAR_SOLV 2.39241
Energies(kcal/mol): TOTAL_SOLV -14.7489  POLAR_SOLV -16.9785  NONPOLAR_SOLV 2.22957
Energies(kcal/mol): TOTAL_SOLV -21.8267  POLAR_SOLV -23.751  NONPOLAR_SOLV 1.9243
Energies(kcal/mol): TOTAL_SOLV -19.3384  POLAR_SOLV -21.1416  NONPOLAR_SOLV 1.80322
Energies(kcal/mol): TOTAL_SOLV -77.5217  POLAR_SOLV -79.8106  NONPOLAR_SOLV 2.28891
Energies(kcal/mol): TOTAL_SOLV -77.2555  POLAR_SOLV -79.3775  NONPOLAR_SOLV 2.12198
Energies(kcal/mol): TOTAL_SOLV -16.678  POLAR_SOLV -19.0029  NONPOLAR_SOLV 2.32489
Energies(kcal/mol): TOTAL_SOLV -17.1626  POLAR_SOLV -19.2809  NONPOLAR_SOLV 2.11822
Energies(kcal/mol): TOTAL_SOLV -18.9691  POLAR_SOLV -21.404  NONPOLAR_SOLV 2.43491
Energies(kcal/mol): TOTAL_SOLV -14.7661  POLAR_SOLV -17.0385  NONPOLAR_SOLV 2.27236
Energies(kcal/mol): TOTAL_SOLV -25.4931  POLAR_SOLV -27.5867  NONPOLAR_SOLV 2.09357
Energies(kcal/mol): TOTAL_SOLV -16.5807  POLAR_SOLV -18.3829  NONPOLAR_SOLV 1.80212
Energies(kcal/mol): TOTAL_SOLV -74.9167  POLAR_SOLV -77.2484  NONPOLAR_SOLV 2.33167
Energies(kcal/mol): TOTAL_SOLV -77.9689  POLAR_SOLV -80.1425  NONPOLAR_SOLV 2.17366
Energies(kcal/mol): TOTAL_SOLV -17.0185  POLAR_SOLV -18.7859  NONPOLAR_SOLV 1.76734
Energies(kcal/mol): TOTAL_SOLV -12.3471  POLAR_SOLV -14.0631  NONPOLAR_SOLV 1.71602
Energies(kcal/mol): TOTAL_SOLV -22.2727  POLAR_SOLV -23.3746  NONPOLAR_SOLV 1.10198
Energies(kcal/mol): TOTAL_SOLV -23.1735  POLAR_SOLV -24.2215  NONPOLAR_SOLV 1.04795
Energies(kcal/mol): TOTAL_SOLV -15.9017  POLAR_SOLV -18.1092  NONPOLAR_SOLV 2.2075
Energies(kcal/mol): TOTAL_SOLV -9.76269  POLAR_SOLV -11.704  NONPOLAR_SOLV 1.94131
Energies(kcal/mol): TOTAL_SOLV -15.9906  POLAR_SOLV -18.2082  NONPOLAR_SOLV 2.21758
Energies(kcal/mol): TOTAL_SOLV -9.69961  POLAR_SOLV -11.6404  NONPOLAR_SOLV 1.94077
Energies(kcal/mol): TOTAL_SOLV -84.7022  POLAR_SOLV -87.0102  NONPOLAR_SOLV 2.30799
Energies(kcal/mol): TOTAL_SOLV -67.0582  POLAR_SOLV -68.9838  NONPOLAR_SOLV 1.92562
Energies(kcal/mol): TOTAL_SOLV -17.7521  POLAR_SOLV -20.1999  NONPOLAR_SOLV 2.44774
Energies(kcal/mol): TOTAL_SOLV -11.2424  POLAR_SOLV -13.5317  NONPOLAR_SOLV 2.28924
Energies(kcal/mol): TOTAL_SOLV -18.7776  POLAR_SOLV -20.4566  NONPOLAR_SOLV 1.67899
Energies(kcal/mol): TOTAL_SOLV -12.5065  POLAR_SOLV -13.9244  NONPOLAR_SOLV 1.41796
Energies(kcal/mol): TOTAL_SOLV -15.3408  POLAR_SOLV -17.1938  NONPOLAR_SOLV 1.85303
Energies(kcal/mol): TOTAL_SOLV -12.1608  POLAR_SOLV -13.8289  NONPOLAR_SOLV 1.66811
Energies(kcal/mol): TOTAL_SOLV -17.4073  POLAR_SOLV -19.598  NONPOLAR_SOLV 2.19071
Energies(kcal/mol): TOTAL_SOLV -13.9993  POLAR_SOLV -16.0791  NONPOLAR_SOLV 2.0798
Energies(kcal/mol): TOTAL_SOLV -16.3708  POLAR_SOLV -18.6421  NONPOLAR_SOLV 2.27122
Energies(kcal/mol): TOTAL_SOLV -12.9434  POLAR_SOLV -15.0242  NONPOLAR_SOLV 2.08083
Energies(kcal/mol): TOTAL_SOLV -20.1379  POLAR_SOLV -21.3835  NONPOLAR_SOLV 1.24561
Energies(kcal/mol): TOTAL_SOLV -16.6868  POLAR_SOLV -17.7101  NONPOLAR_SOLV 1.02336
Energies(kcal/mol): TOTAL_SOLV -21.5759  POLAR_SOLV -23.5213  NONPOLAR_SOLV 1.9454
Energies(kcal/mol): TOTAL_SOLV -15.9114  POLAR_SOLV -17.6029  NONPOLAR_SOLV 1.69152
Energies(kcal/mol): TOTAL_SOLV -15.8211  POLAR_SOLV -17.9256  NONPOLAR_SOLV 2.10456
Energies(kcal/mol): TOTAL_SOLV -10.1669  POLAR_SOLV -12.0185  NONPOLAR_SOLV 1.85154
