Energies(kcal/mol): TOTAL_SOLV -17.668  POLAR_SOLV -18.3563  NONPOLAR_SOLV 0.688311
Energies(kcal/mol): TOTAL_SOLV -13.4394  POLAR_SOLV -13.9749  NONPOLAR_SOLV 0.535511
Energies(kcal/mol): TOTAL_SOLV -79.8774  POLAR_SOLV -78.04  NONPOLAR_SOLV -1.83736
Energies(kcal/mol): TOTAL_SOLV -64.0845  POLAR_SOLV -62.0422  NONPOLAR_SOLV -2.04228
Energies(kcal/mol): TOTAL_SOLV -20.4208  POLAR_SOLV -21.3244  NONPOLAR_SOLV 0.903597
Energies(kcal/mol): TOTAL_SOLV -16.1625  POLAR_SOLV -16.883  NONPOLAR_SOLV 0.720506
Energies(kcal/mol): TOTAL_SOLV -23.6501  POLAR_SOLV -23.456  NONPOLAR_SOLV -0.194126
Energies(kcal/mol): TOTAL_SOLV -20.9514  POLAR_SOLV -20.5853  NONPOLAR_SOLV -0.36614
Energies(kcal/mol): TOTAL_SOLV -78.47  POLAR_SOLV -79.3831  NONPOLAR_SOLV 0.913151
Energies(kcal/mol): TOTAL_SOLV -78.8793  POLAR_SOLV -79.6057  NONPOLAR_SOLV 0.726446
Energies(kcal/mol): TOTAL_SOLV -18.4413  POLAR_SOLV -18.4168  NONPOLAR_SOLV -0.0245267
Energies(kcal/mol): TOTAL_SOLV -17.2738  POLAR_SOLV -16.9234  NONPOLAR_SOLV -0.350415
Energies(kcal/mol): TOTAL_SOLV -20.0681  POLAR_SOLV -21.0578  NONPOLAR_SOLV 0.989706
Energies(kcal/mol): TOTAL_SOLV -16.5192  POLAR_SOLV -17.3653  NONPOLAR_SOLV 0.846101
Energies(kcal/mol): TOTAL_SOLV -29.0749  POLAR_SOLV -29.0239  NONPOLAR_SOLV -0.0510767
Energies(kcal/mol): TOTAL_SOLV -18.4645  POLAR_SOLV -18.2608  NONPOLAR_SOLV -0.203771
Energies(kcal/mol): TOTAL_SOLV -75.6935  POLAR_SOLV -76.6911  NONPOLAR_SOLV 0.997553
Energies(kcal/mol): TOTAL_SOLV -79.2703  POLAR_SOLV -80.1218  NONPOLAR_SOLV 0.851418
Energies(kcal/mol): TOTAL_SOLV -18.5584  POLAR_SOLV -18.9492  NONPOLAR_SOLV 0.39074
Energies(kcal/mol): TOTAL_SOLV -14.1016  POLAR_SOLV -14.4262  NONPOLAR_SOLV 0.324606
Energies(kcal/mol): TOTAL_SOLV -22.802  POLAR_SOLV -21.7433  NONPOLAR_SOLV -1.05877
Energies(kcal/mol): TOTAL_SOLV -22.2704  POLAR_SOLV -21.2507  NONPOLAR_SOLV -1.01964
Energies(kcal/mol): TOTAL_SOLV -17.3048  POLAR_SOLV -18.4489  NONPOLAR_SOLV 1.14406
Energies(kcal/mol): TOTAL_SOLV -11.3498  POLAR_SOLV -12.1334  NONPOLAR_SOLV 0.783599
Energies(kcal/mol): TOTAL_SOLV -17.6972  POLAR_SOLV -18.8796  NONPOLAR_SOLV 1.18236
Energies(kcal/mol): TOTAL_SOLV -11.0711  POLAR_SOLV -11.8226  NONPOLAR_SOLV 0.751453
Energies(kcal/mol): TOTAL_SOLV -82.2351  POLAR_SOLV -82.2853  NONPOLAR_SOLV 0.0501609
Energies(kcal/mol): TOTAL_SOLV -65.6479  POLAR_SOLV -65.4271  NONPOLAR_SOLV -0.220777
Energies(kcal/mol): TOTAL_SOLV -19.4132  POLAR_SOLV -19.8669  NONPOLAR_SOLV 0.453629
Energies(kcal/mol): TOTAL_SOLV -12.7432  POLAR_SOLV -14.1914  NONPOLAR_SOLV 1.4482
Energies(kcal/mol): TOTAL_SOLV -20.5058  POLAR_SOLV -21.5844  NONPOLAR_SOLV 1.07859
Energies(kcal/mol): TOTAL_SOLV -14.2297  POLAR_SOLV -14.9251  NONPOLAR_SOLV 0.695408
Energies(kcal/mol): TOTAL_SOLV -16.7667  POLAR_SOLV -17.5934  NONPOLAR_SOLV 0.826736
Energies(kcal/mol): TOTAL_SOLV -12.5753  POLAR_SOLV -14.2124  NONPOLAR_SOLV 1.63706
Energies(kcal/mol): TOTAL_SOLV -19.4292  POLAR_SOLV -20.1577  NONPOLAR_SOLV 0.728513
Energies(kcal/mol): TOTAL_SOLV -16.4824  POLAR_SOLV -17.0835  NONPOLAR_SOLV 0.601149
Energies(kcal/mol): TOTAL_SOLV -18.9757  POLAR_SOLV -19.8312  NONPOLAR_SOLV 0.855507
Energies(kcal/mol): TOTAL_SOLV -15.6048  POLAR_SOLV -16.2211  NONPOLAR_SOLV 0.616339
Energies(kcal/mol): TOTAL_SOLV -22.4465  POLAR_SOLV -22.5476  NONPOLAR_SOLV 0.101108
Energies(kcal/mol): TOTAL_SOLV -18.2618  POLAR_SOLV -17.9789  NONPOLAR_SOLV -0.282901
Energies(kcal/mol): TOTAL_SOLV -22.8112  POLAR_SOLV -23.8962  NONPOLAR_SOLV 1.08501
Energies(kcal/mol): TOTAL_SOLV -17.7245  POLAR_SOLV -18.4251  NONPOLAR_SOLV 0.700659
Energies(kcal/mol): TOTAL_SOLV -17.4468  POLAR_SOLV -18.4436  NONPOLAR_SOLV 0.996844
Energies(kcal/mol): TOTAL_SOLV -12.1195  POLAR_SOLV -12.7711  NONPOLAR_SOLV 0.651551
